bookId,price,updatedAt
127870,112.00,2023-10-25T10:27:31+00:00
1894943,74.00,2023-10-25T06:03:47+00:00
6982,103.00,2023-10-25T12:10:59+00:00
1903087,59.00,2023-10-25T13:55:05+00:00
2014874,74.00,2023-10-25T13:55:13+00:00
2089050,64.00,2023-10-25T11:26:23+00:00
100586,84.00,2023-10-25T14:37:25+00:00
2025434,54.00,2023-10-25T13:55:31+00:00
1517937,249.00,2023-10-25T14:41:53+00:00
1875930,54.00,2023-10-25T14:43:12+00:00
2473807,99.00,2023-10-25T14:20:21+00:00
1898483,44.00,2023-10-25T14:44:01+00:00
1901003,529.00,2023-10-25T14:44:05+00:00
2027159,49.00,2023-10-25T14:44:57+00:00
2038734,129.00,2023-10-25T14:45:28+00:00
2165114,74.00,2023-10-25T14:50:42+00:00
2179273,74.00,2023-10-25T14:51:14+00:00
2179274,74.00,2023-10-25T14:51:14+00:00
2876051,359.00,2023-10-25T15:13:40+00:00
2025437,54.00,2023-10-25T13:55:31+00:00
